Name,URL,Address,Trust,Postcode,ID,Hospital,Rating,Care Quality Commission inspection ratings,Friends and Family Test score: A&E,Friends and Family Test Score: Community,Friends and Family Test score: Inpatient,Friends and Family Test score: Maternity,Friends and Family test score: Outpatients,Friends and Family Test score: Staff - Care,Friends and Family Test score: Staff - Work,Friends and Family Test score: Mental Health,Friends and Family Test score: Ambulance patient transport
QVH at Darent Valley Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1449,"Darenth Wood Road, Dartford, Kent, DA2 8DA",Queen Victoria Hospital NHS Foundation Trust,DA2 8DA,1449,Darent Valley Hospital,NA,Good,83%,NA,98%,NA,98%,82%,67%,NA,NA
QVH at Faversham Cottage Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1957,"Stone Street, Faversham, Kent, ME13 8PS",Queen Victoria Hospital NHS Foundation Trust,ME13 8PS,1957,Faversham Cottage Hospital,NA,No rating,NA,97%,NA,NA,NA,92%,80%,NA,NA
QVH at Kent and Canterbury Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1725,"Ethelbert Road, Canterbury, Kent, CT1 3NG",Queen Victoria Hospital NHS Foundation Trust,CT1 3NG,1725,Kent and Canterbury Hospital,NA,Requires Improvement,88%,NA,94%,NA,92%,73%,55%,NA,NA
QVH at Maidstone District General Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1042,"Hermitage Lane, Maidstone, Kent, ME16 9QQ",Queen Victoria Hospital NHS Foundation Trust,ME16 9QQ,1042,Maidstone Hospital,NA,Requires Improvement,95%,NA,97%,NA,82%,78%,72%,NA,NA
QVH at Medway Maritime Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1992,"Windmill Road, Gillingham, Kent, ME7 5NY",Queen Victoria Hospital NHS Foundation Trust,ME7 5NY,1992,Medway Maritime Hospital,NA,Requires Improvement,78%,NA,88%,NA,92%,68%,53%,NA,NA
QVH at Sevenoaks Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1358,"Hospital Road, Sevenoaks, Kent, TN13 3PG",Queen Victoria Hospital NHS Foundation Trust,TN13 3PG,1358,Sevenoaks Hospital,NA,NA,NA,97%,NA,NA,NA,92%,80%,NA,NA
QVH at Uckfield Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1365,"Framfield Road, Uckfield, TN22 5AW",Queen Victoria Hospital NHS Foundation Trust,TN22 5AW,1365,Uckfield Hospital,NA,NA,NA,98%,NA,NA,97%,82%,62%,NA,NA
QVH at William Harvey Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1847,"Kennington Road, Willesborough, Ashford, Kent, TN24 0LZ",Queen Victoria Hospital NHS Foundation Trust,TN24 0LZ,1847,William Harvey Hospital (Ashford),NA,Requires Improvement,79%,NA,95%,NA,92%,73%,55%,NA,NA
St Peter's Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=128529,"Guildford Road, Chertsey, Surrey, KT16 0PZ",Queen Victoria Hospital NHS Foundation Trust,KT16 0PZ,128529,St Peter's Hospital,NA,Good,73%,NA,98%,NA,100%,65%,35%,NA,NA
Leighton Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=128554,"Middlewich Road, Leighton, Crewe, Cheshire, CW1 4QJ",Robert Jones and Agnes Hunt Orthopaedic and District Hospital NHS Trust,CW1 4QJ,128554,Leighton Hospital,NA,Good,83%,93%,94%,NA,93%,87%,76%,NA,NA
Ludlow Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1945,"Gravel Hill, Ludlow, Shropshire, SY8 1QX",Robert Jones and Agnes Hunt Orthopaedic and District Hospital NHS Trust,SY8 1QX,1945,Ludlow Community Hospital,NA,NA,NA,99%,NA,NA,NA,95%,71%,NA,NA
Manchester Royal Infirmary,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=131020,"Oxford Road, Manchester, Greater Manchester, M13 9WL",Robert Jones and Agnes Hunt Orthopaedic and District Hospital NHS Trust,M13 9WL,131020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mold Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=119565,"Ashgrove, Mold, Clwyd, CH7 1XG",Robert Jones and Agnes Hunt Orthopaedic and District Hospital NHS Trust,CH7 1XG,119565,Mold Community Hospital,NA,NA,NA,NA,NA,NA,98%,99%,75%,NA,NA
Nuffield Health,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=138947,"Shrewsbury Hospital, Longden Road, Shrewsbury, Shropshire, SY3 9DP",Robert Jones and Agnes Hunt Orthopaedic and District Hospital NHS Trust,SY3 9DP,138947,"Nuffield Health, Shrewsbury Hospital",NA,Good,NA,NA,100%,NA,98%,NA,NA,NA,NA
Princess Royal Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=128553,"Apley Castle, Grainger Drive, Apley, Telford, Shropshire, TF1 6TF",Robert Jones and Agnes Hunt Orthopaedic and District Hospital NHS Trust,TF1 6TF,128553,Princess Royal Hospital ,NA,Inadequate,86%,NA,99%,NA,96%,59%,38%,NA,NA
Royal Shrewsbury Hospital North,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=99972,"Mytton Oak Road, Shrewsbury, Shropshire, SY3 8XQ",Robert Jones and Agnes Hunt Orthopaedic and District Hospital NHS Trust,SY3 8XQ,99972,Royal Shrewsbury Hospital ,NA,Inadequate,100%,NA,97%,NA,96%,59%,38%,NA,NA
Spire Yale Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=151359,"Wrexham Technology Park, Wrexham, LL13 7YP",Robert Jones and Agnes Hunt Orthopaedic and District Hospital NHS Trust,LL13 7YP,151359,Spire Yale Hospital,NA,NA,NA,NA,NA,NA,98%,99%,75%,NA,NA
The Robert Jones and Agnes Hunt Orthopaedic Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1604,"Oswestry, Shropshire, SY10 7AG",Robert Jones and Agnes Hunt Orthopaedic and District Hospital NHS Trust,SY10 7AG,1604,The Robert Jones and Agnes Hunt Orthopaedic Hospital,NA,Good,NA,NA,99%,NA,98%,99%,75%,NA,NA
Whitchurch Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=99973,"Claypit Street, Whitchurch, Shropshire, SY13 1NT",Robert Jones and Agnes Hunt Orthopaedic and District Hospital NHS Trust,SY13 1NT,99973,Whitchurch Community Hospital,NA,No rating,NA,99%,NA,NA,NA,95%,71%,NA,NA
Wye Valley Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=128754,"Stonebow Road, Hereford, Herefordshire, HR1 2BN",Robert Jones and Agnes Hunt Orthopaedic and District Hospital NHS Trust,HR1 2BN,128754,"The County Hospital, Wye Valley NHS Trust",NA,Requires Improvement,89%,100%,96%,NA,79%,83%,74%,NA,NA
Doncaster Adult Mental Health Service - Access Team including Crisis Resolution Service,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=107484,"Opal Centre, Tickhill Road Site, Weston Road, Balby, Doncaster, South Yorkshire, DN4 8QN",Rotherham Doncaster and South Humber NHS Foundation Trust,DN4 8QN,107484,Doncaster Adult Mental Health Service - Access Team including Crisis Resolution Service,NA,NA,NA,100%,NA,NA,NA,76%,64%,95%,NA
North Lincs Adult Mental Health Service - Access Team  including Crisis Resolution Service,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=107488,"Great Oaks, Ashby High Street, Scunthorpe, Lincolnshire, DN16 2JX",Rotherham Doncaster and South Humber NHS Foundation Trust,DN16 2JX,107488,North Lincs Adult Mental Health Service - Access Team  including Crisis Resolution Service,NA,NA,NA,100%,NA,NA,NA,76%,64%,95%,NA
Rotherham Adult Mental Health Service - Access Team  including Crisis Resolution Service,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=107481,"142a Aughton Road, Swallownest, Sheffield, South Yorkshire, S26 4TH",Rotherham Doncaster and South Humber NHS Foundation Trust,S26 4TH,107481,Rotherham Adult Mental Health Service - Access Team  including Crisis Resolution Service,NA,NA,NA,100%,NA,NA,NA,76%,64%,95%,NA
Rotherham Older People's Mental Health Services,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=98051,"Woodlands Unit, Moorgate Road, Rotherham, South Yorkshire, S60 2UD",Rotherham Doncaster and South Humber NHS Foundation Trust,S60 2UD,98051,Rotherham Hospital,NA,Requires Improvement,67%,98%,97%,NA,96%,76%,77%,NA,NA
Tickhill Road Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2671,"Rotherham Doncaster and South Humber NHS Foundation Trust, Weston Road, Tickhill Road, Balby, Doncaster, DN4 8QN",Rotherham Doncaster and South Humber NHS Foundation Trust,DN4 8QN,2671,Tickhill Road Hospital,NA,NA,NA,100%,NA,NA,NA,76%,64%,95%,NA
Tickhill Road Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=88871,"Tickhill Road, Balby, Doncaster, South Yorkshire, DN4 8QP",Rotherham Doncaster and South Humber NHS Foundation Trust,DN4 8QP,88871,Tickhill Road Hospital,NA,NA,NA,100%,NA,NA,NA,76%,64%,95%,NA
Broadmoor Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=130930,"Club Lane, Crowthorne, Berkshire, RG45 7EG",Royal Berkshire NHS Foundation Trust,RG45 7EG,130930,Broadmoor Hospital,NA,NA,NA,100%,NA,NA,NA,76%,76%,91%,NA
Henley (Townlands) Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=88888,"Henley (Townlands) Community Hospital, York Road, Henley-On-Thames, Oxfordshire, RG9 2EB",Royal Berkshire NHS Foundation Trust,RG9 2EB,88888,Townlands Memorial Hospital - Oxford Health NHS Foundation Trust ,NA,NA,NA,96%,NA,NA,NA,79%,66%,92%,NA
Marlow Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=133002,"Glade Road, Marlow, Buckinghamshire, SL7 1DJ",Royal Berkshire NHS Foundation Trust,SL7 1DJ,133002,Marlow Community Hospital,NA,NA,NA,89%,NA,NA,93%,77%,59%,NA,NA
Prince Charles Eye Unit,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1699,"St Leonards Road, Windsor, Berkshire, SL4 3DP",Royal Berkshire NHS Foundation Trust,SL4 3DP,1699,Prince Charles Eye Unit,NA,No rating,98%,NA,100%,NA,99%,90%,69%,NA,NA
Royal Berkshire Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2038,"London Road, Craven Road, Reading, Berkshire, RG1 5AN",Royal Berkshire NHS Foundation Trust,RG1 5AN,2038,Royal Berkshire Hospital,NA,Good,85%,NA,99%,NA,99%,90%,69%,NA,NA
The Princess Margaret Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=119584,"38-42 Osborne Road, Windsor, Berkshire, SL4 3SJ",Royal Berkshire NHS Foundation Trust,SL4 3SJ,119584,BMI The Princess Margaret Hospital,NA,Good,NA,NA,100%,NA,NA,NA,NA,NA,NA
The Wellington Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=119293,"Wellington Place, St Johns Wood, London, Greater London, NW8 9LE",Royal Berkshire NHS Foundation Trust,NW8 9LE,119293,Wellington Hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Townlands Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=33991,"Outpatients, York Rd, Henley on Thames, RG9 2EB",Royal Berkshire NHS Foundation Trust,RG9 2EB,33991,Townlands Memorial Hospital - Oxford Health NHS Foundation Trust ,NA,NA,NA,96%,NA,NA,NA,79%,66%,92%,NA
Wallingford Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1832,"Reading Road, Reading Road, Wallingford, Oxfordshire, Wallingford, Oxfordshire, OX10 9DU",Royal Berkshire NHS Foundation Trust,OX10 9DU,1832,Wallingford Community Hospital,NA,No rating,NA,96%,NA,NA,NA,79%,66%,92%,NA
West Berkshire Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1578,"London Road, Benham Hill, Thatcham, Berkshire, RG18 3AS",Royal Berkshire NHS Foundation Trust,RG18 3AS,1578,West Berkshire Community Hospital,NA,NA,NA,96%,NA,NA,NA,83%,73%,79%,NA
West Berkshire Community Hospital (Ssp Clinic),https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=153453,"London Road, Benham Hill, Thatcham, RG18 3AS",Royal Berkshire NHS Foundation Trust,RG18 3AS,153453,West Berkshire Community Hospital,NA,NA,NA,96%,NA,NA,NA,83%,73%,79%,NA
Wokingham Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2105,"41 Barkham Road, 41 Barkham Road, Wokingham, Wokingham, Berkshire, RG41 2RE",Royal Berkshire NHS Foundation Trust,RG41 2RE,2105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harefield Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1567,"Hill End Road, Harefield, Middlesex, UB9 6JH",Royal Brompton and Harefield NHS Foundation Trust,UB9 6JH,1567,Harefield Hospital,NA,Good,NA,NA,92%,NA,95%,NA,NA,NA,NA
Royal Brompton Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1523,"Sydney Street, London, Greater London, SW3 6NP",Royal Brompton and Harefield NHS Foundation Trust,SW3 6NP,1523,Royal Brompton Hospital,NA,Good,NA,NA,95%,NA,95%,NA,NA,NA,NA
Bodmin Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=100065,"Boundary Road, Bodmin, Cornwall, PL31 2QT",Royal Cornwall Hospitals NHS Trust,PL31 2QT,100065,Bodmin Hospital - Cornwall Partnership NHS Foundation Trust,NA,NA,NA,96%,NA,NA,NA,84%,65%,90%,NA
Camborne Redruth Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=100067,"Barncoose Terrace, Barncoose, Redruth, Cornwall, TR15 3ER",Royal Cornwall Hospitals NHS Trust,TR15 3ER,100067,Camborne Redruth Community Hospital - Cornwall Partnership NHS Foundation Trust,NA,No rating,NA,96%,NA,NA,NA,84%,65%,90%,NA
Falmouth Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=99718,"Trescobeas Road, Falmouth, Cornwall, TR11 2JA",Royal Cornwall Hospitals NHS Trust,TR11 2JA,99718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fowey Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=102421,"Park Road, Fowey, Cornwall, PL23 1EE",Royal Cornwall Hospitals NHS Trust,PL23 1EE,102421,Fowey Hospital,NA,NA,NA,NA,NA,NA,96%,82%,72%,NA,NA
Helston Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=100066,"Meneage Road, Helston, Cornwall, TR13 8DR",Royal Cornwall Hospitals NHS Trust,TR13 8DR,100066,Helston Hospital - Cornwall Partnership NHS Foundation Trust,NA,No rating,NA,96%,NA,NA,NA,84%,65%,90%,NA
Liskeard Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2526,"Clemo Road, Liskeard, Cornwall, PL14 3XD",Royal Cornwall Hospitals NHS Trust,PL14 3XD,2526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newquay Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=100068,"St. Thomas Road, Newquay, Cornwall, TR7 1RQ",Royal Cornwall Hospitals NHS Trust,TR7 1RQ,100068,Newquay Hospital - Cornwall Partnership NHS Foundation Trust,NA,No rating,NA,96%,NA,NA,NA,84%,65%,90%,NA
Royal Cornwall Hospital (Treliske),https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=325,"Treliske, Truro, Cornwall, TR1 3LQ",Royal Cornwall Hospitals NHS Trust,TR1 3LQ,325,Royal Cornwall Hospital (Treliske),NA,Requires Improvement,90%,NA,97%,NA,96%,82%,72%,NA,NA
St Austell Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=99719,"Porthpean Road, St. Austell, Cornwall, PL26 6AD",Royal Cornwall Hospitals NHS Trust,PL26 6AD,99719,St Austell Community Hospital - Cornwall Partnership NHS Foundation Trust,NA,No rating,NA,96%,NA,NA,NA,84%,65%,90%,NA
St Barnabas Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=135755,"Higher Port View, Saltash, Cornwall, PL12 4BU",Royal Cornwall Hospitals NHS Trust,PL12 4BU,135755,St Barnabas Hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St Mary's Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=100069,"Belmont, St. Mary's, Isles Of Scilly, TR21 0LE",Royal Cornwall Hospitals NHS Trust,TR21 0LE,100069,St Mary - Cornwall Partnership NHS Foundation Trust,NA,No rating,NA,96%,NA,NA,NA,84%,65%,90%,NA
St Michael's Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=528,"Trelissick Road, Hayle, Cornwall, TR27 4JA",Royal Cornwall Hospitals NHS Trust,TR27 4JA,528,St Michael's Hospital,NA,Good,NA,NA,100%,NA,96%,82%,72%,NA,NA
West Cornwall Hospital (Penzance),https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=25,"St Clare Street, Penzance, Cornwall, TR18 2PF",Royal Cornwall Hospitals NHS Trust,TR18 2PF,25,West Cornwall Hospital (Penzance),NA,Good,94%,NA,100%,NA,96%,82%,72%,NA,NA
Axminster Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1677,"Chard Street, Axminster, Devon, EX13 5DU",Royal Devon and Exeter NHS Foundation Trust,EX13 5DU,1677,Axminster Hospital,NA,No rating,NA,97%,NA,NA,81%,92%,75%,NA,NA
Bideford Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=139281,"Abbotsham Road, Bideford, Devon, EX39 3AG",Royal Devon and Exeter NHS Foundation Trust,EX39 3AG,139281,Bideford Hospital,NA,No rating,NA,96%,NA,NA,97%,86%,78%,NA,NA
Bodmin Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=139282,"Boundary Road, Bodmin, Cornwall, PL31 2QT",Royal Devon and Exeter NHS Foundation Trust,PL31 2QT,139282,Bodmin Hospital - Cornwall Partnership NHS Foundation Trust,NA,NA,NA,96%,NA,NA,NA,84%,65%,90%,NA
Budleigh Salterton Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=111513,"East Budleigh Road, Budleigh Salterton, Devon, EX9 6HF",Royal Devon and Exeter NHS Foundation Trust,EX9 6HF,111513,Budleigh Salterton Hospital,NA,NA,NA,97%,NA,NA,81%,92%,75%,NA,NA
Camborne Redruth Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=139283,"Barncoose Terrace, Barncoose, Redruth, Cornwall, TR15 3ER",Royal Devon and Exeter NHS Foundation Trust,TR15 3ER,139283,Camborne Redruth Community Hospital - Cornwall Partnership NHS Foundation Trust,NA,No rating,NA,96%,NA,NA,NA,84%,65%,90%,NA
Crediton Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=113752,"Western Road, Crediton, Devon, EX17 3NH",Royal Devon and Exeter NHS Foundation Trust,EX17 3NH,113752,Crediton Hospital,NA,No rating,NA,97%,NA,NA,81%,92%,75%,NA,NA
Derriford Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=131608,"Derriford Road, Derriford, Plymouth, Devon, PL6 8DH",Royal Devon and Exeter NHS Foundation Trust,PL6 8DH,131608,Derriford Hospital,NA,Requires Improvement,90%,94%,98%,NA,95%,83%,67%,NA,NA
Exeter Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=127847,"Hospital Lane, EX1 3RB",Royal Devon and Exeter NHS Foundation Trust,EX1 3RB,127847,Exeter Community Hospital,NA,No rating,NA,97%,NA,NA,81%,92%,75%,NA,NA
Exmouth Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1385,"Claremont Grove, Exmouth, Devon, EX8 2JN",Royal Devon and Exeter NHS Foundation Trust,EX8 2JN,1385,Exmouth Hospital,NA,No rating,NA,97%,NA,NA,81%,92%,75%,NA,NA
Heavitree Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1552,"Gladstone Road, Exeter, Devon, EX1 2ED",Royal Devon and Exeter NHS Foundation Trust,EX1 2ED,1552,Heavitree Hospital,NA,No rating,NA,97%,NA,NA,81%,92%,75%,NA,NA
Honiton Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1345,"Marlpits Lane, ., Honiton, Devon, EX14 2DE",Royal Devon and Exeter NHS Foundation Trust,EX14 2DE,1345,Honiton Hospital,NA,Good,NA,97%,NA,NA,81%,92%,75%,NA,NA
Liskeard Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=139275,"Clemo Road, Liskeard, Cornwall, PL14 3XD",Royal Devon and Exeter NHS Foundation Trust,PL14 3XD,139275,Liskeard Community Hospital - Cornwall Partnership NHS Foundation Trust,NA,No rating,NA,96%,NA,NA,NA,84%,65%,90%,NA
Moretonhampstead Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=127630,"Ford Street, Moretonhampstead, Newton Abbot, Devon, TQ13 8LN",Royal Devon and Exeter NHS Foundation Trust,TQ13 8LN,127630,Moretonhampstead Hospital,NA,NA,NA,97%,NA,NA,81%,92%,75%,NA,NA
Mount Gould Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=139278,"Mount Gould Road, Plymouth, Devon, PL4 7QD",Royal Devon and Exeter NHS Foundation Trust,PL4 7QD,139278,Mount Gould Hospital,NA,NA,NA,99%,NA,NA,NA,NA,NA,90%,NA
North Devon District Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1370,"Raleigh Park, Barnstaple, Devon, EX31 4JB",Royal Devon and Exeter NHS Foundation Trust,EX31 4JB,1370,North Devon District Hospital,NA,Requires Improvement,86%,96%,98%,NA,97%,86%,78%,NA,NA
Okehampton Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2190,"Cavell Way, ., Okehampton, Devon, EX20 1PN",Royal Devon and Exeter NHS Foundation Trust,EX20 1PN,2190,Okehampton Community Hospital,NA,No rating,NA,97%,NA,NA,81%,92%,75%,NA,NA
Ottery St Mary Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1595,"Keegan Close, Ottery St Mary, Devon, EX11 1DN",Royal Devon and Exeter NHS Foundation Trust,EX11 1DN,1595,Ottery St Mary Hospital,NA,No rating,NA,97%,NA,NA,81%,92%,75%,NA,NA
Royal Cornwall Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=878,"Treliske, Truro, Cornwall, TR1 3LQ",Royal Devon and Exeter NHS Foundation Trust,TR1 3LQ,878,Royal Cornwall Hospital (Treliske),NA,Requires Improvement,90%,NA,97%,NA,96%,82%,72%,NA,NA
Royal Devon and Exeter Hospital (Wonford),https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1963,"Barrack Road, Exeter, Devon, EX2 5DW",Royal Devon and Exeter NHS Foundation Trust,EX2 5DW,1963,Royal Devon and Exeter Hospital (Wonford),NA,Good,92%,97%,94%,NA,81%,92%,75%,NA,NA
Seaton Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=99083,"Valley View Road, Seaton, Devon, EX12 2UU",Royal Devon and Exeter NHS Foundation Trust,EX12 2UU,99083,Seaton Hospital,NA,No rating,NA,97%,NA,NA,81%,92%,75%,NA,NA
